color,red,orange,blue,white
blue,513,252,219,307
blue,512,250,212,307
blue,512,259,217,307
blue,510,255,214,305
blue,514,255,213,307
blue,513,257,217,305
blue,514,261,228,308
blue,514,255,218,307
blue,514,255,216,306
blue,513,256,218,306
pink,618,243,219,361
pink,619,244,220,362
pink,622,244,218,362
pink,616,243,214,362
pink,615,244,219,359
pink,623,243,216,363
pink,622,245,216,363
pink,612,241,211,360
pink,616,244,214,361
pink,619,247,215,362
black,474,172,171,213
black,474,169,159,213
black,475,170,159,214
black,473,171,165,212
black,473,172,162,213
black,473,173,160,215
black,474,172,170,213
black,475,172,164,213
black,472,170,161,213
black,473,170,163,213
green,496,226,181,267
green,494,217,173,269
green,494,217,173,270
green,490,214,168,271
green,497,221,175,272
green,497,218,172,270
green,491,218,176,271
green,492,218,175,272
green,496,221,178,268
green,493,221,177,271
lightblue,565,317,244,394
lightblue,564,323,246,393
lightblue,564,323,245,392
lightblue,564,322,247,393
lightblue,568,323,244,398
lightblue,566,321,246,396
lightblue,567,321,246,395
lightblue,566,309,248,394
lightblue,566,313,247,393
lightblue,567,313,247,394
yellow,673,386,260,490
yellow,673,387,261,489
yellow,674,388,259,487
yellow,672,391,255,490
yellow,672,392,255,490
yellow,672,390,257,490
yellow,672,389,257,488
yellow,673,391,248,489
yellow,672,391,258,490
yellow,672,391,258,490
red,613,244,220,348
red,613,244,221,347
red,612,242,219,347
red,613,241,219,348
red,612,243,221,347
red,613,244,222,347
red,613,243,221,348
red,613,244,221,349
red,613,242,220,348
red,611,242,220,348
white,690,443,342,534
white,692,442,343,534
white,690,438,344,531
white,691,439,344,532
white,690,446,343,533
white,691,446,343,534
white,690,436,342,534
white,691,448,341,533
white,688,440,345,535
white,689,440,344,535
